Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",3140,Normalized,1600,871.11,,,129250.0,,,87000.0,,,891.1,,,599.8,,,19.7,57.3,262.0,,39.5,53.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",3140,Annealed,1500,815.56,,,100000.0,,,61250.0,,,689.5,,,422.3,,,24.5,50.8,197.0,,34.2,46.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4130,Normalized,1600,871.11,,,97000.0,,,63250.0,,,668.8,,,436.1,,,25.5,59.5,197.0,,63.7,86.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4130,Annealed,1585,862.78,,,81250.0,,,52250.0,,,560.2,,,360.3,,,28.2,55.6,156.0,,45.5,61.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4140,Normalized,1600,871.11,,,148000.0,,,95000.0,,,1020.4,,,655.0,,,17.7,46.8,302.0,,16.7,22.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4140,Annealed,1500,815.56,,,95000.0,,,60500.0,,,655.0,,,417.1,,,25.7,56.9,197.0,,40.2,54.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4150,Normalized,1600,871.11,,,167500.0,,,106500.0,,,1154.9,,,734.3,,,11.7,30.8,321.0,,8.5,11.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4150,Annealed,1500,815.56,,,105750.0,,,55000.0,,,729.1,,,379.2,,,20.2,40.2,197.0,,18.2,24.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4320,Normalized,1640,893.33,,,115000.0,,,67250.0,,,792.9,,,463.7,,,20.8,50.7,235.0,,53.8,73.0,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4320,Annealed,1560,848.89,,,84000.0,,,61625.0,,,579.2,,,424.9,,,29.0,58.4,163.0,,81.0,109.8,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4340,Normalized,1600,871.11,,,185500.0,,,125000.0,,,1279.0,,,861.8,,,12.2,36.3,363.0,,11.7,15.9,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4340,Annealed,1490,810.00,,,108000.0,,,68500.0,,,744.6,,,472.3,,,22.0,49.9,217.0,,37.7,51.1,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4620,Normalized,1650,898.89,,,83250.0,,,53125.0,,,574.0,,,366.3,,,29.0,66.7,174.0,,98.0,132.9,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4620,Annealed,1575,857.22,,,74250.0,,,54000.0,,,511.9,,,372.3,,,31.3,60.3,149.0,,69.0,93.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4820,Normalized,1580,860.00,,,109500.0,,,70250.0,,,755.0,,,484.4,,,24.0,59.2,229.0,,81.0,109.8,,,,,
