Category,Type,Subcategory,Mechanical Property Data Source(s),Name,Treatment or temper,"Ultimate Tensile Strength
(psi)","Ultimate Yield Strength
(psi)","Ultimate Tensile Strength
(Mpa)","Ultimate Yield Strength
(Mpa)",Elongation (%),"Reduction in Cross Sectional Area
(%)",Brinell Hardness,"Izod Impact Stength
(Ft-lb)","Izod Impact Stength
(N-m)","Ultimate Shearing Strength
(ksi)","Ultimate Shearing Strength
(Mpa)","Endurance limit
(ksi)","Endurance limit
(MPa)"
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",771.0-T6,,42,35,289.58,241.32,5,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",771.0-T71,,48,45,330.95,310.26,2,120,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",850.0-T5,,16,,110.32,,5,45,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 576",851.0-T5,,17,,117.21,,3,45,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",204.0-T4,,48,29,330.95,199.95,8,,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",208.0-T4,,33,15,227.53,103.42,4.5,75,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",208.0-T6,,35,22,241.32,151.68,2,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",208.0-T7,,33,16,227.53,110.32,3,80,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",222.0-T551,,30,,206.84,,,115,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",222.0-T65,,40,,275.79,,,140,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",242.0-T571,,34,,234.42,,,105,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",242.0-T61,,40,,275.79,,,110,,,,,,,
